Title ,Description,Real/Fake
logoları kullanarak dolandırmaya çalıştılar,cumhurbaşkanlığı savunma sanayi başkanlığının isim ve logoları kullanılarak yapılan dolandırıcılık girişimleri,0
seçim sonucu coşku ile kutlandı, seçim sonuçları türk sılahlı kuvvetlerinde bando ve armoni mızıkaksı ile kutlandı,0
kilise roket düştü,türkiye sınırlarına suriye tarafındaki ypg terör örgütü kaynaklı roket atılması sonucu kilise roket düştü,0
İşte şehit olan askerlerimizin ismi,12 ocak 2024'te şehit olan askerlerimizin isimleri sosyal medya hesaplarından paylaşıldı.,0
türkiyenin gönderdiği zırhlı araçlar terör örgütünün eline geçti,"Türkiye’nin Somali ordusuna terör örgütü Eş-Şebab ile mücadele etmesi için gönderdiği zırhlı araçların, terör örgütünün eline geçtiği iddia edildi.",0
ilk sarı torba sonra bavul!,"sarı torba ile taşınan askerin naaşı sonrasında bavula konarak ailesine teslim edildi,ailesi görüntüleri paylaştı",0
pkk orta menzilli füze ile  tsk'yı hedef aldı,pkk'nın füzeler ile tsk birliğini toplantı halinde tam isabetle hedef alıyor 47 türk askeri hayatını kaybetti,0
türk savaş uçakları hastaneyi bombaladı,türk savaş uçakları suriyenin derik  bölgesindeki sivil  hastanesini bombaladı ,0
afganlar pendik sahilinde askeri eğitim yaptı,"sahil kenarında çeşitli spor hareketleri yapan Afgan grup, izleyenleri pes dedirtti. Başlarında bulunan eğitmenin yere uzanan Afganlara mekik ve şınav çektirdiği görüldü.",0
türk sılahlı kuvvetlerine ait çankırı obüs fabrikası katarlara satıldı,"Gazeteci Yavuz Selim Demirağ, KRT'de İnan Demirel'in hazırlayıp sunduğu Gündem Özel programında Türk Silahlı Kuvvetleri'ne ait Çankırı Obüs Fabrikası'nın Katar'a satıldığını söyledi",0
milli savunma bakanlığının logosuna arap kılıcı eklendi,logosu değişen milli savunma bakanlığının logosuna yıldızlara ek olarak arap kılıcı eklendi,0
kuleli askeri lisesi araplara satıldı,"Seymen,yaptığı açıklamada, ""Her şey haraç mezat! Kuleli Askeri Lisesi'nin binası Araplara satılmış. Milli manevi; paraya tahvil edilemeyen hiç bir şeyin kıymeti yok nazarlarında"" ifadelerini kullandı.",0
tsk'ya suriyeli subay ve astsubaylar alındı,"Suriyeli insanlar, TSK’da asteğmen ve subay olarak görev yapıyorlar. Bu bize TSK içinden gelen bir bilgidir.",0
sınırda mülteci dalgası,snırdaki yeni hareket afgan mülteciler ülkemize doğru akımasıymış çok sayıda afgan sınırdan geçiyor,0
evlerinden olan insanları ikinci kez evsiz bıraktılar ,muğladaki askeri kampta misafir edilen depremzedeler zorla çıkartılıyor,0
ikinci ordu komutanı gürak protokole alınmadı,"orgeneral metin gürak, cumhurbaşkanının antepteki karşılama protokolüne alınmadı",0
