title,description,publishedAt,category,temizlenmis_title,temizlenmis_description,source
Yalıkavak’taki Azeri mutfağı,"Bodrum’da sezonu açtım. Yalıkavak’ın yenilerinden Sumakh’a uğradım, biraz marinada turladım. Sezon başında gündem olan 1 milyon 115 bin liralık hesabın ödendiği Bagatelle’ye sızdım, neler oluyor diye bakındım.",2024-07-06T04:00:00Z,other,yalıkavaktaki azeri mutfağı,bodrumda sezonu açtım yalıkavakın yenilerinden sumakha uğradım biraz marinada turladım sezon başında gündem olan milyon bin liralık hesabın ödendiği bagatelleye sızdım neler oluyor diye bakındım,Hurriyet.com.tr
TFF'den Arda Güler ve Montella açıklaması! Antrenmandaki görüntü çok konuşulmuştu,"Türkiye Futbol Federasyonu, Çekya maçı hazırlıkları sırasında teknik direktör Montella ile Arda Güler'in arasında geçen ve sosyal medyada gündem olan görüntüler sonrası açıklama yaptı.",2024-06-23T20:20:00Z,sports,tffden arda güler montella açıklaması antrenmandaki görüntü konuşulmuştu,türkiye futbol federasyonu çekya maçı hazırlıkları sırasında teknik direktör montella arda gülerin arasında geçen sosyal medyada gündem olan görüntüler sonrası açıklama yaptı,Hurriyet.com.tr
Yüzyıllardır bunu yapıyoruz ama yeniden gündem oldu... Yere sırtüstü yatıp uzanmak neden iyi geliyor?,"Kaçınız gün içerisinde yere uzanıp birkaç dakikalığına dış dünya ile bağını koparıyor ya da en son çıplak ayakla çimlere ne zaman bastınız? Aslında insanoğlu bunu yüzyıllardır yapıyor ama artık doğadan o kadar uzaklaştık ki toprakla etkileşime geçemiyor, gün …",2024-06-24T07:22:00Z,other,yüzyıllardır yapıyoruz yeniden gündem oldu yere sırtüstü yatıp uzanmak iyi geliyor,kaçınız gün içerisinde yere uzanıp dakikalığına dış dünya bağını koparıyor en son çıplak ayakla çimlere zaman bastınız aslında insanoğlu yüzyıllardır yapıyor artık doğadan uzaklaştık toprakla etkileşime geçemiyor gün,Hurriyet.com.tr
"3 paylaşım, 3 gündem","Bu hafta en çok konuşulan paylaşımlar; Demet Şener, Yasemin Şefkatli ve Mahsun Kırmızıgül'den geldi. Kimi; paylaşımın yanlış 'anlaşılmasıyla', kimi; olumsuz bir yoruma verdiği karşılıkla, kimi de; 'Jön' çıkışıyla gündem oldu. Detaylar 'Panorama'da...",2024-06-29T06:15:08Z,entertainment,paylaşım gündem,hafta en konuşulan paylaşımlar demet şener yasemin şefkatli mahsun kırmızıgülden geldi kimi paylaşımın yanlış anlaşılmasıyla kimi olumsuz yoruma verdiği karşılıkla kimi jön çıkışıyla gündem oldu detaylar panoramada,Haberturk.com
Fenerbahçe'den gündem Çağlar Söyüncü,"Fenerbahçe, Çağlar Söyüncü’yü kadrosuna katmak için girişimlerini sürdürüyor. Sarı lacivertlilerin, bu transfere kısa süre içinde resmiyet kazandırması bekleniyor.",2024-06-30T11:04:26Z,sports,fenerbahçeden gündem çağlar söyüncü,fenerbahçe çağlar söyüncüyü kadrosuna katmak için girişimlerini sürdürüyor sarı lacivertlilerin transfere kısa süre içinde resmiyet kazandırması bekleniyor,Haberturk.com
Haftanın gündem olan paylaşımları,"Bu haftanın en çok konuşulan paylaşımları; İbrahim Tatlıses'in kızı Dilan Çıtak ve Wanda Nara'dan geldi. Çıtak, sonradan vazgeçtiği şikâyet silsilesiyle, Nara ise Galatasaray'ın yıldız futbolcusu Mauro Icardi'den ayrıldığını açıklamasıyla gündeme geldi. Detay…",2024-07-12T21:01:29Z,entertainment,haftanın gündem olan paylaşımları,haftanın en konuşulan paylaşımları ibrahim tatlısesin kızı dilan çıtak wanda naradan geldi çıtak sonradan vazgeçtiği şikâyet silsilesiyle nara ise galatasarayın yıldız futbolcusu mauro icardiden ayrıldığını açıklamasıyla gündeme geldi detay,Haberturk.com
Simpsonlar yine gündem oldu,ABD Başkanı Trump'a yönelik suikast girişiminin ardından Simpsonlar dizisi yine gündem oldu. Dizinin bir bölümü sosyal medyada suikast girişimi ile ilişkilendirildi. Ancak paylaşımı yapılan karenin kaynağının farklı olduğu belirlendi,2024-07-14T12:30:35Z,other,simpsonlar yine gündem oldu,abd başkanı trumpa yönelik suikast girişiminin ardından simpsonlar dizisi yine gündem oldu dizinin bölümü sosyal medyada suikast girişimi ilişkilendirildi paylaşımı yapılan karenin kaynağının farklı olduğu belirlendi,Haberturk.com
O görüntüler gündem oldu!,"TFF Başkanı Mehmet Büyükekşi, EURO 2024 çeyrek finalinde Hollanda ile karşılaşacak A Milli Takım oyuncularını Leipzig'den Berlin'e uğurlarken, Cenk Tosun'un tavrı olay oldu. Cenk'in, otel çıkışında futbolcularla tek tek tokalaşan Büyükekşi'nin arkasından geçi…",2024-07-04T09:23:24Z,sports,görüntüler gündem oldu,tff başkanı mehmet büyükekşi euro çeyrek finalinde hollanda karşılaşacak milli takım oyuncularını leipzigden berline uğurlarken cenk tosunun tavrı olay oldu cenkin otel çıkışında futbolcularla tek tek tokalaşan büyükekşinin arkasından geçi,Haberturk.com
TBMM'de tatil sonrası yoğun gündem,"TBMM Genel Kurulu, 9 günlük Kurban Bayramı tatilinin ardından haftalık çalışmasına 25 Haziran Salı günü başlayacak. Genel Kurul'da, kripto varlıklara ilişkin düzenlemeler içeren kanun teklifinin görüşmelerine başlanacak. ""Dijital telif"" gündemiyle toplanacak …",2024-06-23T08:17:35Z,politics,tbmmde tatil sonrası yoğun gündem,tbmm genel kurulu günlük kurban bayramı tatilinin ardından haftalık çalışmasına haziran salı günü başlayacak genel kurulda kripto varlıklara ilişkin düzenlemeler içeren kanun teklifinin görüşmelerine başlanacak dijital telif gündemiyle toplanacak,Haberturk.com
Mert'in kurtarışı dünyada gündem oldu!,"A Milli Takımımız, EURO 2024 son 16 turunda Avusturya'yı 2-1 yenerek çeyrek finale yükselirken, Mert Günok'un 90+4'te yaptığı müthiş kurtarış maça damgasını vurdu. Tecrübeli file bekçisi Baumgartner'in yerden seken kafa vuruşunu harika bir refleksle kornere ç…",2024-07-03T07:50:19Z,sports,mertin kurtarışı dünyada gündem oldu,milli takımımız euro son turunda avusturyayı yenerek çeyrek finale yükselirken mert günokun te yaptığı müthiş kurtarış maça damgasını vurdu tecrübeli file bekçisi baumgartnerin yerden seken kafa vuruşunu harika refleksle kornere ç,Haberturk.com
