category,temizlenmis_title,Real/Fake,temizlenmis_description,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
other,yalıkavaktaki azeri mutfağı,1,bodrumda sezonu açtım yalıkavakın yenilerinden sumakha uğradım biraz marinada turladım sezon başında gündem olan milyon bin liralık hesabın ödendiği bagatelleye sızdım neler oluyor diye bakındım,"['yalıkavakta', 'ki', 'azeri', 'mutfağı']","['yalıkavak', 'ki', 'azeri', 'mutfak']","['bodrumda', 'sezonu', 'açtım', 'yalıkavakın', 'yenilerinden', 'sumakha', 'uğradım', 'biraz', 'marinada', 'turladım', 'sezon', 'başında', 'gündem', 'olan', 'milyon', 'bin', 'liralık', 'hesabın', 'ödendiği', 'bagatelleye', 'sızdım', 'neler', 'oluyor', 'diye', 'bakındım']","['bodrum', 'sezo', 'aç', 'yalıkavak', 'yeni', 'sumakha', 'uğra', 'biraz', 'marina', 'turla', 'sezon', 'baş', 'gündem', 'ol', 'milyon', 'bin', 'liralık', 'hesap', 'öden', 'bagatelle', 'sız', 'ne', 'ol', 'diye', 'bakın']"
sports,tffden arda güler montella açıklaması antrenmandaki görüntü konuşulmuştu,1,türkiye futbol federasyonu çekya maçı hazırlıkları sırasında teknik direktör montella arda gülerin arasında geçen sosyal medyada gündem olan görüntüler sonrası açıklama yaptı,"['tffden', 'arda', 'güler', 'montella', 'açıklaması', 'antrenmanda', 'ki', 'görüntü', 'konuşulmuştu']","['tffde', 'ara', 'gü', 'montel', 'açıklama', 'antrenman', 'ki', 'görüntü', 'konuş']","['türkiye', 'futbol', 'federasyonu', 'çekya', 'maçı', 'hazırlıkları', 'sırasında', 'teknik', 'direktör', 'montella', 'arda', 'gülerin', 'arasında', 'geçen', 'sosyal', 'medyada', 'gündem', 'olan', 'görüntüler', 'sonrası', 'açıklama', 'yaptı']","['türkiye', 'futbol', 'federasyon', 'çekya', 'maçı', 'hazırlık', 'sıra', 'teknik', 'direktör', 'montel', 'ara', 'gü', 'ara', 'geç', 'sosyal', 'medya', 'gündem', 'ol', 'görüntü', 'sonra', 'açıkla', 'yap']"
other,yüzyıllardır yapıyoruz yeniden gündem oldu yere sırtüstü yatıp uzanmak iyi geliyor,1,kaçınız gün içerisinde yere uzanıp dakikalığına dış dünya bağını koparıyor en son çıplak ayakla çimlere zaman bastınız aslında insanoğlu yüzyıllardır yapıyor artık doğadan uzaklaştık toprakla etkileşime geçemiyor gün,"['yüzyıllar', 'dır', 'yapıyoruz', 'yeniden', 'gündem', 'oldu', 'yere', 'sırtüstü', 'yatıp', 'uzanmak', 'iyi', 'geliyor']","['yüzyıl', 'dir', 'yap', 'yeniden', 'gündem', 'ol', 'yer', 'sırtüstü', 'yat', 'uza', 'iyi', 'gel']","['kaçınız', 'gün', 'içerisinde', 'yere', 'uzanıp', 'dakikalığına', 'dış', 'dünya', 'bağını', 'koparıyor', 'en', 'son', 'çıplak', 'ayakla', 'çimlere', 'zaman', 'bastınız', 'aslında', 'insanoğlu', 'yüzyıllar', 'dır', 'yapıyor', 'artık', 'doğadan', 'uzaklaştık', 'toprakla', 'etkileşime', 'geçemiyor', 'gün']","['kaç', 'gün', 'içeri', 'yer', 'uza', 'dakikalık', 'dış', 'dünya', 'bağ', 'kop', 'en', 'son', 'çıplak', 'ayak', 'çim', 'zaman', 'bas', 'aslında', 'insanoğlu', 'yüzyıl', 'dir', 'yap', 'artık', 'doğa', 'uzaklaş', 'toprak', 'etkileş', 'geç', 'gün']"
sports,fenerbahçeden gündem çağlar söyüncü,1,fenerbahçe çağlar söyüncüyü kadrosuna katmak için girişimlerini sürdürüyor sarı lacivertlilerin transfere kısa süre içinde resmiyet kazandırması bekleniyor,"['fenerbahçeden', 'gündem', 'çağlar', 'söyüncü']","['fenerbahçe', 'gündem', 'çağ', 'söyüncü']","['fenerbahçe', 'çağlar', 'söyüncüyü', 'kadrosuna', 'katmak', 'için', 'girişimlerini', 'sürdürüyor', 'sarı', 'lacivertlilerin', 'transfere', 'kısa', 'süre', 'içinde', 'resmiyet', 'kazandırması', 'bekleniyor']","['fenerbahçe', 'çağ', 'söyüncü', 'kadro', 'kat', 'için', 'girişim', 'sür', 'sarı', 'lacivertli', 'transfer', 'kısa', 'süre', 'iç', 'resmiyet', 'kazan', 'bekle']"
other,simpsonlar yine gündem oldu,1,abd başkanı trumpa yönelik suikast girişiminin ardından simpsonlar dizisi yine gündem oldu dizinin bölümü sosyal medyada suikast girişimi ilişkilendirildi paylaşımı yapılan karenin kaynağının farklı olduğu belirlendi,"['simpsonlar', 'yine', 'gündem', 'oldu']","['simpson', 'yine', 'gündem', 'ol']","['abd', 'başkanı', 'trumpa', 'yönelik', 'suikast', 'girişiminin', 'ardından', 'simpsonlar', 'dizisi', 'yine', 'gündem', 'oldu', 'dizinin', 'bölümü', 'sosyal', 'medyada', 'suikast', 'girişimi', 'ilişkilendirildi', 'paylaşımı', 'yapılan', 'karenin', 'kaynağının', 'farklı', 'olduğu', 'belirlendi']","['abd', 'başkan', 'Srumpa', 'yönelik', 'suikast', 'girişim', 'ardından', 'simpson', 'dizi', 'yine', 'gündem', 'ol', 'diz', 'bölüm', 'sosyal', 'medya', 'suikast', 'giriş', 'ilişkilendirildi', 'paylaşım', 'yap', 'kare', 'kaynak', 'farklı', 'ol', 'belirle']"
sports,görüntüler gündem oldu,1,tff başkanı mehmet büyükekşi euro çeyrek finalinde hollanda karşılaşacak milli takım oyuncularını leipzigden berline uğurlarken cenk tosunun tavrı olay oldu cenkin otel çıkışında futbolcularla tek tek tokalaşan büyükekşinin arkasından geçi,"['görüntüler', 'gündem', 'oldu']","['görüntü', 'gündem', 'ol']","['tff', 'başkanı', 'mehmet', 'büyükekşi', 'euro', 'çeyrek', 'finalinde', 'hollanda', 'karşılaşacak', 'milli', 'takım', 'oyuncularını', 'leipzigden', 'berline', 'uğurlarken', 'cenk', 'tosunun', 'tavrı', 'olay', 'oldu', 'cenkin', 'otel', 'çıkışında', 'futbolcularla', 'tek', 'tek', 'tokalaşan', 'büyükekşinin', 'arkasından', 'geçi']","['tff', 'başkan', 'mehmet', 'büyükekşi', 'euro', 'çeyrek', 'final', 'hollanda', 'karşılaş', 'milli', 'takım', 'oyuncu', 'leipzig', 'berlin', 'uğurla', 'cenk', 'tos', 'tavır', 'olay', 'ol', 'cenk', 'otel', 'çıkış', 'futbolcu', 'tek', 'tek', 'tokalaş', 'büyükekşi', 'arka', 'geçi']"
politics,tbmmde tatil sonrası yoğun gündem,1,tbmm genel kurulu günlük kurban bayramı tatilinin ardından haftalık çalışmasına haziran salı günü başlayacak genel kurulda kripto varlıklara ilişkin düzenlemeler içeren kanun teklifinin görüşmelerine başlanacak dijital telif gündemiyle toplanacak,"['tbmmde', 'tatil', 'sonrası', 'yoğun', 'gündem']","['tbmmde', 'tatil', 'sonra', 'yoğun', 'gündem']","['tbmm', 'genel', 'kurulu', 'günlük', 'kurban', 'bayramı', 'tatilinin', 'ardından', 'haftalık', 'çalışmasına', 'haziran', 'salı', 'günü', 'başlayacak', 'genel', 'kurulda', 'kripto', 'varlıklara', 'ilişkin', 'düzenlemeler', 'içeren', 'kanun', 'teklifinin', 'görüşmelerine', 'başlanacak', 'dijital', 'telif', 'gündemiyle', 'toplanacak']","['tbmm', 'genel', 'kurul', 'günlük', 'kurban', 'bayra', 'tatil', 'ardından', 'haftalık', 'çalış', 'haziran', 'salı', 'gün', 'başla', 'genel', 'kurul', 'kripto', 'varlık', 'ilişkin', 'düzenle', 'içer', 'kan', 'teklif', 'görüşme', 'başla', 'dijital', 'telif', 'gündem', 'topla']"
sports,mertin kurtarışı dünyada gündem oldu,1,milli takımımız euro son turunda avusturyayı yenerek çeyrek finale yükselirken mert günokun te yaptığı müthiş kurtarış maça damgasını vurdu tecrübeli file bekçisi baumgartnerin yerden seken kafa vuruşunu harika refleksle kornere ç,"['mertin', 'kurtarışı', 'dünyada', 'gündem', 'oldu']","['mertin', 'kurtarış', 'dünya', 'gündem', 'ol']","['milli', 'takımımız', 'euro', 'son', 'turunda', 'avusturyayı', 'yenerek', 'çeyrek', 'finale', 'yükselirken', 'mert', 'günokun', 'te', 'yaptığı', 'müthiş', 'kurtarış', 'maça', 'damgasını', 'vurdu', 'tecrübeli', 'file', 'bekçisi', 'baumgartnerin', 'yerden', 'seken', 'kafa', 'vuruşunu', 'harika', 'refleksle', 'kornere', 'ç']","['milli', 'takım', 'euro', 'son', 'tur', 'avusturya', 'ye', 'çeyrek', 'finale', 'yüksel', 'mert', 'günok', 'te', 'yap', 'müthiş', 'kurtarış', 'maça', 'damga', 'vur', 'tecrübeli', 'file', 'bekçi', 'baumgartner', 'yer', 'sek', 'kafa', 'vuruş', 'harika', 'refleks', 'korner', 'ç']"
entertainment,ilayda alişan oğulcan engin tatilde gelsene aşkım,0,ilayda alişan oğulcan engin bayram tatilini geçirmek için çeşmeyi tercih etti,"['ilayda', 'alişan', 'oğulcan', 'engin', 'tatilde', 'gelsene', 'aşkım']","['ilayda', 'alişan', 'oğulcan', 'engin', 'tatil', 'gel', 'aşk']","['ilayda', 'alişan', 'oğulcan', 'engin', 'bayram', 'tatilini', 'geçirmek', 'için', 'çeşmeyi', 'tercih', 'etti']","['ilayda', 'alişan', 'oğulcan', 'engin', 'bayram', 'tatil', 'geçir', 'için', 'çeşme', 'tercih', 'et']"
other,bozcaadaya girişçıkış ücreti yeniden gündem oldu,1,yaz aylarında tatilcilerin akınına uğrayan bozcaadada belediye adada ikamet etmeyenlerden çevre trafik düzenlemesi katkı ücreti alıyor yıl tl olan ücret sosyal medyada tartışılırken artan su tüketimi ada sakinlerinin olumsuz etkilenen günlü,"['bozcaadaya', 'girişçıkış', 'ücreti', 'yeniden', 'gündem', 'oldu']","['bozcaada', 'girişçıkış', 'ücret', 'yeniden', 'gündem', 'ol']","['yaz', 'aylarında', 'tatilcilerin', 'akınına', 'uğrayan', 'bozcaadada', 'belediye', 'adada', 'ikamet', 'etmeyenlerden', 'çevre', 'trafik', 'düzenlemesi', 'katkı', 'ücreti', 'alıyor', 'yıl', 'tl', 'olan', 'ücret', 'sosyal', 'medyada', 'tartışılırken', 'artan', 'su', 'tüketimi', 'ada', 'sakinlerinin', 'olumsuz', 'etkilenen', 'günlü']","['yaz', 'ay', 'tatilci', 'akın', 'uğra', 'bozcaada', 'beledi', 'ada', 'ikamet', 'et', 'çevre', 'trafik', 'düzenle', 'katkı', 'ücret', 'al', 'yıl', 'tl', 'ol', 'ücret', 'sosyal', 'medya', 'tartış', 'art', 'su', 'tüket', 'ada', 'sakin', 'olumsuz', 'etkile', 'günlü']"
