category,temizlenmis_title,temizlenmis_description,title_sentiment_label,description_sentiment_label,title_sentiment,description_sentiment,source,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
other,yalıkavaktaki azeri mutfağı,bodrumda sezonu açtım yalıkavakın yenilerinden sumakha uğradım biraz marinada turladım sezon başında gündem olan milyon bin liralık hesabın ödendiği bagatelleye sızdım neler oluyor diye bakındım,neutral,negative,[0.08139835 0.9186017 ],[0.94218206 0.05781788],Hurriyet.com.tr,"['yalıkavakta', 'ki', 'azeri', 'mutfağı']","['yalıkavak', 'ki', 'azeri', 'mutfak']","['bodrumda', 'sezonu', 'açtım', 'yalıkavakın', 'yenilerinden', 'sumakha', 'uğradım', 'biraz', 'marinada', 'turladım', 'sezon', 'başında', 'gündem', 'olan', 'milyon', 'bin', 'liralık', 'hesabın', 'ödendiği', 'bagatelleye', 'sızdım', 'neler', 'oluyor', 'diye', 'bakındım']","['bodrum', 'sezo', 'aç', 'yalıkavak', 'yeni', 'sumakha', 'uğra', 'biraz', 'marina', 'turla', 'sezon', 'baş', 'gündem', 'ol', 'milyon', 'bin', 'liralık', 'hesap', 'öden', 'bagatelle', 'sız', 'ne', 'ol', 'diye', 'bakın']"
sports,tffden arda güler montella açıklaması antrenmandaki görüntü konuşulmuştu,türkiye futbol federasyonu çekya maçı hazırlıkları sırasında teknik direktör montella arda gülerin arasında geçen sosyal medyada gündem olan görüntüler sonrası açıklama yaptı,negative,negative,[0.58316976 0.41683027],[0.9053862  0.09461373],Hurriyet.com.tr,"['tffden', 'arda', 'güler', 'montella', 'açıklaması', 'antrenmanda', 'ki', 'görüntü', 'konuşulmuştu']","['tffde', 'ara', 'gü', 'montel', 'açıklama', 'antrenman', 'ki', 'görüntü', 'konuş']","['türkiye', 'futbol', 'federasyonu', 'çekya', 'maçı', 'hazırlıkları', 'sırasında', 'teknik', 'direktör', 'montella', 'arda', 'gülerin', 'arasında', 'geçen', 'sosyal', 'medyada', 'gündem', 'olan', 'görüntüler', 'sonrası', 'açıklama', 'yaptı']","['türkiye', 'futbol', 'federasyon', 'çekya', 'maçı', 'hazırlık', 'sıra', 'teknik', 'direktör', 'montel', 'ara', 'gü', 'ara', 'geç', 'sosyal', 'medya', 'gündem', 'ol', 'görüntü', 'sonra', 'açıkla', 'yap']"
other,yüzyıllardır yapıyoruz yeniden gündem oldu yere sırtüstü yatıp uzanmak iyi geliyor,kaçınız gün içerisinde yere uzanıp dakikalığına dış dünya bağını koparıyor en son çıplak ayakla çimlere zaman bastınız aslında insanoğlu yüzyıllardır yapıyor artık doğadan uzaklaştık toprakla etkileşime geçemiyor gün,neutral,negative,[0.29473117 0.7052688 ],[0.81750774 0.18249224],Hurriyet.com.tr,"['yüzyıllar', 'dır', 'yapıyoruz', 'yeniden', 'gündem', 'oldu', 'yere', 'sırtüstü', 'yatıp', 'uzanmak', 'iyi', 'geliyor']","['yüzyıl', 'dir', 'yap', 'yeniden', 'gündem', 'ol', 'yer', 'sırtüstü', 'yat', 'uza', 'iyi', 'gel']","['kaçınız', 'gün', 'içerisinde', 'yere', 'uzanıp', 'dakikalığına', 'dış', 'dünya', 'bağını', 'koparıyor', 'en', 'son', 'çıplak', 'ayakla', 'çimlere', 'zaman', 'bastınız', 'aslında', 'insanoğlu', 'yüzyıllar', 'dır', 'yapıyor', 'artık', 'doğadan', 'uzaklaştık', 'toprakla', 'etkileşime', 'geçemiyor', 'gün']","['kaç', 'gün', 'içeri', 'yer', 'uza', 'dakikalık', 'dış', 'dünya', 'bağ', 'kop', 'en', 'son', 'çıplak', 'ayak', 'çim', 'zaman', 'bas', 'aslında', 'insanoğlu', 'yüzyıl', 'dir', 'yap', 'artık', 'doğa', 'uzaklaş', 'toprak', 'etkileş', 'geç', 'gün']"
entertainment,paylaşım gündem,hafta en konuşulan paylaşımlar demet şener yasemin şefkatli mahsun kırmızıgülden geldi kimi paylaşımın yanlış anlaşılmasıyla kimi olumsuz yoruma verdiği karşılıkla kimi jön çıkışıyla gündem oldu detaylar panoramada,neutral,negative,[0.012668   0.98733205],[0.7045835 0.2954165],Haberturk.com,"['paylaşım', 'gündem']","['paylaşım', 'gündem']","['hafta', 'en', 'konuşulan', 'paylaşımlar', 'demet', 'şener', 'yasemin', 'şefkatli', 'mahsun', 'kırmızıgülden', 'geldi', 'kimi', 'paylaşımın', 'yanlış', 'anlaşılmasıyla', 'kimi', 'olumsuz', 'yoruma', 'verdiği', 'karşılıkla', 'kimi', 'jön', 'çıkışıyla', 'gündem', 'oldu', 'detaylar', 'panoramada']","['hafta', 'en', 'konuş', 'paylaşım', 'demet', 'şener', 'yasemin', 'şefkatli', 'mahsun', 'kırmızıgülden', 'gel', 'kimi', 'paylaşım', 'yanlış', 'anlaş', 'kimi', 'olumsuz', 'yorum', 'ver', 'karşılık', 'kimi', 'jön', 'çıkış', 'gündem', 'ol', 'detay', 'panoramama']"
sports,fenerbahçeden gündem çağlar söyüncü,fenerbahçe çağlar söyüncüyü kadrosuna katmak için girişimlerini sürdürüyor sarı lacivertlilerin transfere kısa süre içinde resmiyet kazandırması bekleniyor,negative,negative,[0.88353413 0.11646584],[0.68099725 0.31900272],Haberturk.com,"['fenerbahçeden', 'gündem', 'çağlar', 'söyüncü']","['fenerbahçe', 'gündem', 'çağ', 'söyüncü']","['fenerbahçe', 'çağlar', 'söyüncüyü', 'kadrosuna', 'katmak', 'için', 'girişimlerini', 'sürdürüyor', 'sarı', 'lacivertlilerin', 'transfere', 'kısa', 'süre', 'içinde', 'resmiyet', 'kazandırması', 'bekleniyor']","['fenerbahçe', 'çağ', 'söyüncü', 'kadro', 'kat', 'için', 'girişim', 'sür', 'sarı', 'lacivertli', 'transfer', 'kısa', 'süre', 'iç', 'resmiyet', 'kazan', 'bekle']"
entertainment,haftanın gündem olan paylaşımları,haftanın en konuşulan paylaşımları ibrahim tatlısesin kızı dilan çıtak wanda naradan geldi çıtak sonradan vazgeçtiği şikâyet silsilesiyle nara ise galatasarayın yıldız futbolcusu mauro icardiden ayrıldığını açıklamasıyla gündeme geldi detay,neutral,negative,[0.02734176 0.9726582 ],[0.74910635 0.25089368],Haberturk.com,"['haftanın', 'gündem', 'olan', 'paylaşımları']","['hafta', 'gündem', 'ol', 'paylaşım']","['haftanın', 'en', 'konuşulan', 'paylaşımları', 'ibrahim', 'tatlısesin', 'kızı', 'dilan', 'çıtak', 'wanda', 'naradan', 'geldi', 'çıtak', 'sonradan', 'vazgeçtiği', 'şikâyet', 'silsilesiyle', 'nara', 'ise', 'galatasarayın', 'yıldız', 'futbolcusu', 'mauro', 'icardiden', 'ayrıldığını', 'açıklamasıyla', 'gündeme', 'geldi', 'detay']","['hafta', 'en', 'konuş', 'paylaşım', 'ibrahim', 'tatlıses', 'kız', 'dilan', 'çıtak', 'wan', 'nara', 'gel', 'çıtak', 'sonradan', 'vazgeç', 'şikâyet', 'silsile', 'nara', 'i', 'galatasarayı', 'yıldız', 'futbolcu', 'mauro', 'icarti', 'ayrıl', 'açıkla', 'gündem', 'gel', 'detay']"
other,simpsonlar yine gündem oldu,abd başkanı trumpa yönelik suikast girişiminin ardından simpsonlar dizisi yine gündem oldu dizinin bölümü sosyal medyada suikast girişimi ilişkilendirildi paylaşımı yapılan karenin kaynağının farklı olduğu belirlendi,neutral,negative,[0.01598423 0.9840158 ],[0.68260187 0.31739813],Haberturk.com,"['simpsonlar', 'yine', 'gündem', 'oldu']","['simpson', 'yine', 'gündem', 'ol']","['abd', 'başkanı', 'trumpa', 'yönelik', 'suikast', 'girişiminin', 'ardından', 'simpsonlar', 'dizisi', 'yine', 'gündem', 'oldu', 'dizinin', 'bölümü', 'sosyal', 'medyada', 'suikast', 'girişimi', 'ilişkilendirildi', 'paylaşımı', 'yapılan', 'karenin', 'kaynağının', 'farklı', 'olduğu', 'belirlendi']","['abd', 'başkan', 'Srumpa', 'yönelik', 'suikast', 'girişim', 'ardından', 'simpson', 'dizi', 'yine', 'gündem', 'ol', 'diz', 'bölüm', 'sosyal', 'medya', 'suikast', 'giriş', 'ilişkilendirildi', 'paylaşım', 'yap', 'kare', 'kaynak', 'farklı', 'ol', 'belirle']"
sports,görüntüler gündem oldu,tff başkanı mehmet büyükekşi euro çeyrek finalinde hollanda karşılaşacak milli takım oyuncularını leipzigden berline uğurlarken cenk tosunun tavrı olay oldu cenkin otel çıkışında futbolcularla tek tek tokalaşan büyükekşinin arkasından geçi,neutral,negative,[0.08198416 0.9180158 ],[0.9727118  0.02728819],Haberturk.com,"['görüntüler', 'gündem', 'oldu']","['görüntü', 'gündem', 'ol']","['tff', 'başkanı', 'mehmet', 'büyükekşi', 'euro', 'çeyrek', 'finalinde', 'hollanda', 'karşılaşacak', 'milli', 'takım', 'oyuncularını', 'leipzigden', 'berline', 'uğurlarken', 'cenk', 'tosunun', 'tavrı', 'olay', 'oldu', 'cenkin', 'otel', 'çıkışında', 'futbolcularla', 'tek', 'tek', 'tokalaşan', 'büyükekşinin', 'arkasından', 'geçi']","['tff', 'başkan', 'mehmet', 'büyükekşi', 'euro', 'çeyrek', 'final', 'hollanda', 'karşılaş', 'milli', 'takım', 'oyuncu', 'leipzig', 'berlin', 'uğurla', 'cenk', 'tos', 'tavır', 'olay', 'ol', 'cenk', 'otel', 'çıkış', 'futbolcu', 'tek', 'tek', 'tokalaş', 'büyükekşi', 'arka', 'geçi']"
politics,tbmmde tatil sonrası yoğun gündem,tbmm genel kurulu günlük kurban bayramı tatilinin ardından haftalık çalışmasına haziran salı günü başlayacak genel kurulda kripto varlıklara ilişkin düzenlemeler içeren kanun teklifinin görüşmelerine başlanacak dijital telif gündemiyle toplanacak,neutral,neutral,[0.35770524 0.64229476],[0.496627 0.503373],Haberturk.com,"['tbmmde', 'tatil', 'sonrası', 'yoğun', 'gündem']","['tbmmde', 'tatil', 'sonra', 'yoğun', 'gündem']","['tbmm', 'genel', 'kurulu', 'günlük', 'kurban', 'bayramı', 'tatilinin', 'ardından', 'haftalık', 'çalışmasına', 'haziran', 'salı', 'günü', 'başlayacak', 'genel', 'kurulda', 'kripto', 'varlıklara', 'ilişkin', 'düzenlemeler', 'içeren', 'kanun', 'teklifinin', 'görüşmelerine', 'başlanacak', 'dijital', 'telif', 'gündemiyle', 'toplanacak']","['tbmm', 'genel', 'kurul', 'günlük', 'kurban', 'bayra', 'tatil', 'ardından', 'haftalık', 'çalış', 'haziran', 'salı', 'gün', 'başla', 'genel', 'kurul', 'kripto', 'varlık', 'ilişkin', 'düzenle', 'içer', 'kan', 'teklif', 'görüşme', 'başla', 'dijital', 'telif', 'gündem', 'topla']"
sports,mertin kurtarışı dünyada gündem oldu,milli takımımız euro son turunda avusturyayı yenerek çeyrek finale yükselirken mert günokun te yaptığı müthiş kurtarış maça damgasını vurdu tecrübeli file bekçisi baumgartnerin yerden seken kafa vuruşunu harika refleksle kornere ç,neutral,neutral,[0.07717604 0.92282397],[0.01298872 0.9870113 ],Haberturk.com,"['mertin', 'kurtarışı', 'dünyada', 'gündem', 'oldu']","['mertin', 'kurtarış', 'dünya', 'gündem', 'ol']","['milli', 'takımımız', 'euro', 'son', 'turunda', 'avusturyayı', 'yenerek', 'çeyrek', 'finale', 'yükselirken', 'mert', 'günokun', 'te', 'yaptığı', 'müthiş', 'kurtarış', 'maça', 'damgasını', 'vurdu', 'tecrübeli', 'file', 'bekçisi', 'baumgartnerin', 'yerden', 'seken', 'kafa', 'vuruşunu', 'harika', 'refleksle', 'kornere', 'ç']","['milli', 'takım', 'euro', 'son', 'tur', 'avusturya', 'ye', 'çeyrek', 'finale', 'yüksel', 'mert', 'günok', 'te', 'yap', 'müthiş', 'kurtarış', 'maça', 'damga', 'vur', 'tecrübeli', 'file', 'bekçi', 'baumgartner', 'yer', 'sek', 'kafa', 'vuruş', 'harika', 'refleks', 'korner', 'ç']"
